iter	Passed	Remaining
0	148	148165
1	148	74323
2	149	49687
3	150	37361
4	150	29983
5	151	25061
6	151	21556
7	152	18930
8	153	16904
9	154	15272
10	154	13933
11	155	12816
12	156	11872
13	157	11078
14	158	10379
15	158	9767
16	159	9224
17	160	8747
18	161	8314
19	161	7921
20	162	7566
21	162	7242
22	163	6949
23	164	6677
24	164	6427
25	165	6197
26	166	5985
27	166	5791
28	167	5617
29	168	5452
30	169	5294
31	170	5146
32	170	5008
33	171	4875
34	172	4747
35	173	4632
36	173	4525
37	174	4417
38	175	4314
39	175	4216
40	176	4124
41	177	4037
42	177	3953
43	178	3872
44	178	3795
45	179	3721
46	180	3650
47	181	3591
48	182	3539
49	183	3479
50	183	3421
51	184	3366
52	185	3311
53	186	3262
54	186	3211
55	187	3159
56	188	3111
57	188	3064
58	189	3018
59	189	2974
60	190	2931
61	191	2890
62	191	2850
63	192	2811
64	192	2775
65	193	2738
66	194	2701
67	194	2667
68	195	2634
69	196	2605
70	196	2575
71	197	2545
72	198	2515
73	198	2486
74	199	2458
75	199	2431
76	200	2403
77	201	2378
78	201	2353
79	202	2329
80	203	2304
81	203	2280
82	203	2253
83	204	2230
84	205	2209
85	205	2187
86	206	2166
87	207	2145
88	207	2124
89	208	2105
90	208	2086
91	209	2067
92	210	2048
93	210	2031
94	211	2014
95	212	1998
96	212	1981
97	213	1965
98	214	1948
99	214	1932
100	215	1916
101	215	1901
102	216	1886
103	217	1872
104	217	1857
105	218	1842
106	219	1828
107	219	1814
108	220	1800
109	220	1787
110	221	1774
111	222	1760
112	222	1748
113	223	1736
114	223	1723
115	224	1710
116	224	1697
117	225	1686
118	226	1675
119	227	1664
120	227	1653
121	228	1642
122	228	1632
123	229	1621
124	230	1611
125	230	1600
126	231	1590
127	231	1579
128	232	1569
129	233	1560
130	233	1549
131	234	1540
132	234	1530
133	235	1521
134	236	1512
135	236	1503
136	237	1494
137	237	1485
138	238	1476
139	239	1468
140	239	1460
141	240	1450
142	240	1443
143	241	1436
144	242	1428
145	242	1421
146	243	1414
147	244	1406
148	245	1399
149	245	1392
150	246	1385
151	247	1378
152	247	1370
153	248	1363
154	248	1356
155	249	1349
156	250	1342
157	250	1335
158	251	1328
159	251	1322
160	252	1314
161	252	1307
162	253	1301
163	254	1294
164	254	1288
165	255	1282
166	255	1276
167	256	1270
168	257	1264
169	257	1259
170	258	1253
171	259	1248
172	260	1242
173	260	1237
174	261	1231
175	261	1226
176	262	1220
177	263	1215
178	263	1209
179	264	1204
180	264	1198
181	265	1193
182	266	1188
183	266	1183
184	267	1178
185	267	1172
186	268	1167
187	269	1162
188	269	1157
189	270	1152
190	270	1147
191	271	1143
192	272	1138
193	272	1133
194	273	1128
195	273	1123
196	274	1119
197	275	1114
198	275	1109
199	276	1105
200	276	1100
201	277	1096
202	278	1091
203	278	1087
204	279	1082
205	279	1078
206	280	1073
207	280	1069
208	281	1064
209	281	1060
210	282	1056
211	282	1051
212	283	1047
213	284	1043
214	284	1038
215	285	1034
216	285	1030
217	286	1026
218	286	1022
219	287	1019
220	288	1015
221	288	1011
222	289	1008
223	290	1004
224	290	1000
225	291	996
226	291	992
227	292	989
228	292	985
229	293	982
230	294	978
231	294	975
232	295	971
233	295	968
234	296	964
235	296	960
236	297	957
237	297	953
238	298	950
239	298	946
240	299	943
241	300	940
242	300	937
243	301	934
244	302	931
245	302	928
246	303	924
247	303	921
248	304	918
249	305	915
250	305	912
251	306	909
252	307	906
253	307	903
254	308	900
255	308	897
256	310	897
257	311	894
258	311	892
259	312	889
260	313	886
261	313	883
262	314	880
263	314	877
264	315	873
265	315	870
266	316	868
267	316	865
268	317	862
269	318	860
270	318	857
271	319	855
272	320	852
273	320	849
274	321	846
275	321	844
276	322	841
277	323	839
278	323	836
279	324	833
280	324	831
281	325	828
282	326	826
283	326	823
284	327	820
285	327	818
286	328	815
287	328	813
288	329	810
289	330	807
290	330	805
291	331	802
292	331	800
293	332	798
294	333	796
295	333	794
296	334	791
297	335	789
298	335	787
299	336	784
300	336	782
301	337	780
302	338	777
303	338	775
304	339	773
305	339	770
306	340	768
307	340	765
308	341	763
309	342	761
310	342	759
311	343	756
312	343	754
313	344	752
314	344	750
315	345	747
316	346	745
317	346	744
318	347	742
319	348	740
320	348	738
321	349	735
322	350	733
323	350	731
324	351	730
325	352	728
326	352	726
327	353	724
328	354	722
329	354	720
330	355	718
331	356	716
332	357	715
333	357	713
334	358	711
335	359	709
336	359	707
337	360	705
338	361	703
339	361	702
340	362	700
341	363	698
342	363	696
343	364	694
344	365	693
345	365	691
346	366	689
347	367	687
348	367	685
349	368	683
350	368	681
351	369	680
352	370	678
353	370	676
354	371	674
355	371	672
356	372	670
357	373	668
358	373	667
359	374	665
360	374	663
361	375	661
362	376	659
363	376	658
364	377	656
365	378	655
366	378	653
367	379	651
368	380	649
369	380	648
370	381	646
371	382	645
372	382	643
373	383	641
374	383	639
375	384	638
376	385	636
377	385	634
378	386	632
379	386	631
380	387	629
381	388	627
382	388	626
383	389	624
384	389	622
385	390	621
386	391	619
387	391	618
388	392	616
389	393	615
390	393	613
391	394	611
392	395	610
393	395	608
394	396	607
395	397	605
396	397	604
397	398	602
398	399	601
399	399	599
400	400	597
401	400	596
402	401	595
403	402	593
404	403	592
405	403	590
406	404	588
407	404	587
408	405	585
409	405	584
410	406	582
411	407	581
412	407	579
413	408	578
414	409	576
415	409	575
416	410	573
417	411	572
418	411	571
419	412	569
420	412	567
421	413	566
422	414	565
423	414	563
424	415	562
425	416	560
426	416	559
427	417	557
428	417	556
429	418	554
430	419	553
431	419	551
432	420	550
433	421	549
434	421	547
435	422	546
436	423	545
437	424	544
438	424	542
439	425	541
440	426	540
441	426	538
442	427	537
443	428	536
444	428	534
445	429	533
446	429	531
447	430	530
448	431	529
449	431	527
450	432	526
451	432	524
452	433	523
453	434	521
454	434	520
455	435	519
456	435	517
457	436	516
458	437	515
459	438	514
460	438	513
461	439	511
462	440	510
463	440	509
464	441	508
465	442	506
466	442	505
467	443	504
468	444	503
469	444	501
470	445	500
471	445	498
472	446	497
473	447	496
474	447	494
475	448	493
476	448	492
477	449	490
478	449	489
479	450	487
480	450	486
481	451	485
482	452	484
483	452	482
484	453	481
485	454	480
486	454	479
487	455	477
488	456	476
489	456	475
490	457	474
491	458	472
492	458	471
493	459	470
494	459	469
495	460	467
496	460	466
497	461	465
498	462	464
499	462	462
500	463	461
501	463	460
502	464	459
503	465	457
504	465	456
505	466	455
506	467	454
507	467	453
508	468	451
509	469	450
510	469	449
511	470	448
512	470	447
513	471	445
514	472	444
515	472	443
516	473	442
517	474	441
518	474	439
519	475	438
520	475	437
521	476	436
522	476	434
523	477	433
524	477	432
525	478	431
526	479	429
527	479	428
528	480	427
529	480	426
530	481	425
531	482	424
532	482	422
533	483	421
534	484	420
535	484	419
536	485	418
537	485	417
538	486	416
539	487	414
540	487	413
541	488	412
542	488	411
543	489	410
544	490	409
545	490	407
546	491	406
547	491	405
548	492	404
549	492	403
550	493	402
551	494	401
552	494	399
553	495	398
554	495	397
555	496	396
556	497	395
557	497	394
558	498	393
559	499	392
560	500	391
561	500	390
562	501	389
563	501	387
564	502	386
565	503	385
566	503	384
567	504	383
568	504	382
569	505	381
570	506	380
571	506	379
572	507	378
573	507	376
574	508	375
575	509	374
576	509	373
577	510	372
578	510	371
579	511	370
580	512	369
581	512	368
582	513	367
583	514	366
584	514	365
585	515	364
586	516	363
587	516	362
588	517	361
589	518	360
590	518	359
591	519	357
592	520	356
593	520	355
594	521	354
595	521	353
596	522	352
597	522	351
598	523	350
599	523	349
600	524	348
601	525	347
602	525	346
603	526	344
604	526	343
605	527	343
606	528	342
607	529	341
608	529	340
609	530	339
610	530	337
611	531	337
612	532	336
613	532	335
614	533	334
615	534	332
616	534	331
617	535	330
618	535	329
619	536	328
620	536	327
621	537	326
622	538	325
623	538	324
624	539	323
625	539	322
626	540	321
627	541	320
628	541	319
629	542	318
630	543	317
631	544	316
632	545	316
633	545	315
634	546	314
635	547	313
636	547	312
637	548	311
638	549	310
639	550	309
640	550	308
641	551	307
642	551	306
643	552	305
644	553	304
645	553	303
646	554	302
647	554	301
648	555	300
649	556	299
650	556	298
651	557	297
652	558	296
653	559	295
654	559	294
655	560	293
656	561	292
657	561	292
658	562	291
659	563	290
660	563	289
661	564	288
662	565	287
663	565	286
664	566	285
665	566	284
666	567	283
667	567	282
668	568	281
669	569	280
670	569	279
671	570	278
672	570	277
673	571	276
674	572	275
675	572	274
676	573	273
677	574	272
678	574	271
679	575	270
680	576	269
681	576	268
682	577	267
683	578	267
684	578	266
685	579	265
686	579	264
687	580	263
688	580	262
689	581	261
690	581	260
691	582	259
692	583	258
693	583	257
694	584	256
695	584	255
696	585	254
697	586	253
698	586	252
699	587	251
700	587	250
701	588	249
702	589	248
703	589	247
704	590	246
705	590	246
706	591	245
707	592	244
708	592	243
709	593	242
710	593	241
711	594	240
712	594	239
713	595	238
714	596	237
715	596	236
716	597	235
717	597	234
718	598	233
719	598	232
720	599	231
721	600	231
722	600	230
723	601	229
724	601	228
725	602	227
726	602	226
727	603	225
728	604	224
729	604	223
730	605	222
731	606	221
732	606	221
733	607	220
734	608	219
735	608	218
736	609	217
737	609	216
738	610	215
739	610	214
740	611	213
741	611	212
742	612	211
743	613	210
744	613	210
745	614	209
746	615	208
747	615	207
748	616	206
749	616	205
750	617	204
751	618	203
752	618	202
753	619	202
754	619	201
755	620	200
756	621	199
757	621	198
758	622	197
759	623	196
760	623	195
761	624	194
762	624	194
763	625	193
764	625	192
765	626	191
766	627	190
767	627	189
768	628	188
769	628	187
770	629	186
